,OBJECTID,INF_NOME,FREGUESIA,GlobalID,Type,longitude,latitude
28,29,Centro de Documentação Inf. Relações Públicas do Min. Cultura,Ajuda,eda419f6-d840-49e8-a715-70fb5e8f8b4e,Auditorium,-9.19772981910666,38.7076756501507
29,30,Biblioteca Geral /Biblioteca de Arqueologia - IGESPAR,Ajuda,61c24a0c-6e10-462d-ac31-3870f3d23057,Auditorium,-9.19771832442768,38.7076757548166
30,31,Biblioteca da Ajuda,Ajuda,1257dde1-d5af-4617-8a5b-4cda8fc43191,Auditorium,-9.19771832442768,38.7076757548166
31,32,Biblioteca do Instituto Superior de Agronomia,Alcântara,b85057e9-8425-45ba-a0ed-fcb9dbfc1a52,Auditorium,-9.18395935631697,38.7084677678955
32,33,Biblioteca da Faculdade de Belas-Artes da Universidade de Lisboa,Santa Maria Maior,a1068c32-063d-4dbb-a5bd-ba32838289ed,Auditorium,-9.1405385079772,38.7088674040927
33,34,Divisão de Documentação Fotográfica - Instituto Português de Museus,Ajuda,1fb0ccbc-d227-460c-9727-e5dd6c1fa3d1,Auditorium,-9.19744095522102,38.7086704600145
34,35,Biblioteca do Instituto da Defesa Nacional,Estrela,989667d9-b6e2-4234-8154-eac8a092f2a8,Auditorium,-9.16774021790248,38.7092259929679
35,36,Biblioteca do Centro Nacional de Cultura,Santa Maria Maior,6cf313a4-227a-427a-aadf-de266acb2b84,Auditorium,-9.14236419825004,38.7095631041694
36,37,Biblioteca da  Cooperativa António Sérgio,Estrela,0d413094-38a0-4027-bc4d-bde30dfb15c6,Auditorium,-9.16336235940073,38.7098499827031
37,38,Biblioteca Francisco Pereira de Moura - ISEG,Estrela,96514183-1de6-430d-8ae6-e46abe15a1fb,Auditorium,-9.15493021276902,38.7099260544145
38,39,Biblioteca Associação Portuguesa da Arte Fotográfica,Misericórdia,a6600d5e-ee6b-43d5-9721-77d00491ebba,Auditorium,-9.14555676389839,38.7102216402684
39,40,Biblioteca e Centro de Documentação e Informação Português António Aragão,Estrela,8715e76b-2acc-43c8-8071-dbaa81128f71,Auditorium,-9.15867483997222,38.7102513247738
40,41,Biblioteca e Centro de Documentação e Informação Português António Aragão,Estrela,3ffcd745-a7bb-4cb6-9ae3-0d436f7d2adc,Auditorium,-9.1587321126872,38.7102615237455
41,42,Biblioteca Camões,Misericórdia,4ebdc8c9-3abe-4793-b6c7-69b73e3c8bd8,Auditorium,-9.14591858919604,38.7106058385814
42,43,Biblioteca da Comissão Nacional de Eleições,Misericórdia,2e3d30de-de8b-43ed-af17-22fe4979eac5,Auditorium,-9.15332169224633,38.7106125264513
43,44,Biblioteca da Casa do Fado e da Guitarra Portuguesa,Santa Maria Maior,0498aaec-6eed-482c-8f65-9ffef0c85dce,Auditorium,-9.1276247649222,38.7111514620958
44,45,Biblioteca e Centro de Documentação  Luíza Neto Jorge - Chapitô,Santa Maria Maior,e87733ef-e75a-405c-ab7c-5193a491b0dc,Auditorium,-9.13384832761041,38.7115800246054
45,46,Centro de Estudos sobre África e do Desenvolvimento,Estrela,8f6e7a50-2165-44f4-a784-f24a19dfed75,Auditorium,-9.15544969522052,38.7114338432741
46,47,Centro de Documentação Instituto Superior Psicologia Aplicada,Santa Maria Maior,8b161a48-0ef9-4b65-8112-19d4bf94b36c,Auditorium,-9.12593131137537,38.712167817803
47,48,Centro de Documentação do Ministério do Ambiente e Ordenamento do Território,Misericórdia,1060601e-4b30-407c-a722-a3d24400f8f2,Auditorium,-9.14763195200258,38.7123120129225
48,49,Biblioteca Passos Manuel,Estrela,8851b324-2196-4d45-b53e-6853c1bbef1e,Auditorium,-9.15362919466312,38.7124509228247
49,50,Biblioteca Passos Manuel,Estrela,05328e83-a726-49b8-ac52-4b821941cec6,Auditorium,-9.15362945193781,38.7124689354439
50,51,Casa da Liberdade Mário Cesariny,Santa Maria Maior,04d2b982-4bf7-44c7-9851-870cc8181ead,Auditorium,-9.12793239648825,38.7127061278609
