,id,title,price,num_rooms,total_area,latitude,longitude,extras,Typology,Extra_Rooms,Extra_Rooms_Flag,N_Rooms,Total_N_Rooms,Price,Area_m2,N_Extras,Extras_Flag,Latitude,Longitude,Com elevador,Com garagem,De luxo,Rés do chão,Último andar,Vista para mar,Piscina,Ajuda,Alcântara,Alvalade,Areeiro,Arroios,Avenidas Novas,Beato,Belém,Benfica,Campo de Ourique,Campolide,Carnide,Estrela,Lumiar,Marvila,Misericórdia,Olivais,Parque das Nações,Penha de França,Santa Clara,Santa Maria Maior,Santo António,São Domingos de Benfica,São Vicente,Apartamento,Casa,Duplex,Flat,Loft,Moradia,Palacete,Penthouse,Quinta,stations_within_1.5km,cultural_fac_within_1.5km,edu_within_1.5km
10,10,"Apartamento T5 na Avenida Miguel Torga, Campolide, Lisboa",2.200.000 €,5 quartos,Área bruta 336 m²,"38,73108","-9,16051","De luxo, Com elevador, Com garagem",T5,0,0,5,5,2200000,336,3,1,38.73108,-9.16051,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0,44.0,26.0
11,11,"Apartamento T4 em Arroios, Lisboa",375.000 €,4 quartos,Área bruta 90 m²,"38,72411","-9,13463", ,T4,0,0,4,4,375000,90,0,0,38.72411,-9.13463,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.0,69.0,34.0
12,12,"Apartamento T3 na Rua do Ferragial, Misericórdia, Lisboa",2.450.000 €,3 quartos,Área bruta 264 m²,"38,70762","-9,14239","De luxo, Com garagem",T3,0,0,3,3,2450000,264,2,1,38.70762,-9.14239,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0,87.0,22.0
13,13,"Apartamento T1+1 na Rua da Silva, Misericórdia, Lisboa",310.000 €,1 quarto,Área bruta 60 m²,"38,70935","-9,15253", ,T1+1,1,1,1,2,310000,60,0,0,38.70935,-9.15253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.0,89.0,27.0
14,14,"Moradia T5 na Rua das Pedras Negras, Santa Maria Maior, Lisboa",8.200.000 €,5 quartos,Área bruta 874 m²,"38,71019","-9,13348","De luxo, Com garagem",T5,0,0,5,5,8200000,874,2,1,38.71019,-9.13348,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.0,70.0,20.0
15,15,"Apartamento T1+2 na Rua Cecílio de Sousa, Misericórdia, Lisboa",320.000 €,1 quarto,Área bruta 68 m²,"38,7160237","-9,1500739",Rés do chão,T1+2,2,1,1,3,320000,68,1,1,38.7160237,-9.1500739,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.0,106.0,36.0
16,16,"Apartamento T2+1 em Arroios, Lisboa",250.000 €,2 quartos,Área útil 88 m²,"38,7321733","-9,1350438",Com elevador,T2+1,1,1,2,3,250000,88,1,1,38.7321733,-9.1350438,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,44.0,32.0
17,17,"Apartamento T2 Duplex em Calçada da Ajuda, Ajuda, Lisboa",325.000 €,2 quartos,Área bruta 48 m²,"38,70531","-9,19939", ,T2,0,0,2,2,325000,48,0,0,38.70531,-9.19939,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,35.0,29.0
18,18,"Apartamento T2 Duplex em Estrela, Lisboa",490.000 €,2 quartos,Área bruta 90 m²,"38,7061891","-9,1616014", ,T2,0,0,2,2,490000,90,0,0,38.7061891,-9.1616014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,50.0,25.0
19,19,"Apartamento T3 em Benfica, Lisboa",359.000 €,3 quartos,Área bruta 110 m²,"38,7506416203","-9,1987098542", ,T3,0,0,3,3,359000,110,0,0,38.7506416203,-9.1987098542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,11.0,19.0
21,21,"Apartamento T2 na Rua Gregório Lopes, Belém, Lisboa",488.000 €,2 quartos,Área bruta 102 m²,"38,7116286","-9,2137529","Com elevador, Com garagem",T2,0,0,2,2,488000,102,2,1,38.7116286,-9.2137529,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,9.0,15.0
22,22,"Apartamento T3 em Estrela, Lisboa",1.170.000 €,3 quartos,Área útil 142 m²,"38,7056727","-9,1691901","Com elevador, Com garagem",T3,0,0,3,3,1170000,142,2,1,38.7056727,-9.1691901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,34.0,23.0
23,23,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",399.900 €,2 quartos,Área bruta 76 m²,"38,74657","-9,17989", ,T2,0,0,2,2,399900,76,0,0,38.74657,-9.17989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.0,16.0,23.0
24,24,"Apartamento T3 em Arroios, Lisboa",495.000 €,3 quartos,Área bruta 119 m²,"38,7328921","-9,1341885", ,T3,0,0,3,3,495000,119,0,0,38.7328921,-9.1341885,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.0,41.0,31.0
25,25,"Apartamento T3 na Rua Joaquim Casimiro, Estrela, Lisboa",1.900.000 €,3 quartos,Área bruta 160 m²,"38,70501","-9,16721", ,T3,0,0,3,3,1900000,160,0,0,38.70501,-9.16721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,34.0,22.0
26,26,"Apartamento T1 na Rua Passos Manuel, Arroios, Lisboa",339.000 €,1 quarto,Área bruta 54 m²,"38,73121","-9,13677",Com elevador,T1,0,0,1,1,339000,54,1,1,38.73121,-9.13677,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16.0,49.0,33.0
27,27,"Apartamento T7 em Avenidas Novas, Lisboa",1.500.000 €,7 quartos,Área bruta 302 m²,"38,7363924","-9,1451395",Com elevador,T7,0,0,7,7,1500000,302,1,1,38.7363924,-9.1451395,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.0,51.0,33.0
28,28,"Apartamento T1 na Rua dos Arneiros, Benfica, Lisboa",269.900 €,1 quarto,Área bruta 44 m²,"38,75171","-9,2009", ,T1,0,0,1,1,269900,44,0,0,38.75171,-9.2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.0,8.0,17.0
29,29,"Apartamento T2 na Rua Presidente Arriaga, Estrela, Lisboa",950.000 €,2 quartos,Área bruta 150 m²,"38,70438","-9,16618","Com elevador, Com garagem",T2,0,0,2,2,950000,150,2,1,38.70438,-9.16618,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,35.0,21.0
30,30,"Apartamento T3 em Lumiar, Lisboa",995.000 €,3 quartos,Área bruta 168 m²,"38,76063","-9,17393","Piscina, Com elevador, Com garagem",T3,0,0,3,3,995000,168,3,1,38.76063,-9.17393,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,11.0,28.0
32,32,"Apartamento T1 em Estrada de Benfica, São Domingos de Benfica, Lisboa",279.900 €,1 quarto,Área bruta 49 m²,"38,74487","-9,17992",Com elevador,T1,0,0,1,1,279900,49,1,1,38.74487,-9.17992,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.0,16.0,23.0
