,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
432,432,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",845.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
433,433,"Apartamento T2 em São Domingos de Benfica, Lisboa",318.000 €,2 quartos,Área bruta 78 m²,"38,7432591","-9,1776743",São Domingos de Benfica, 
434,434,"Duplex T2 Duplex na Rua da Praia de Pedrouços, Belém, Lisboa",499.000 €,2 quartos,Área bruta 91 m²,"38,69452","-9,21772",Belém, 
435,435,"Apartamento T4 em Alcântara, Lisboa",2.450.000 €,4 quartos,Área bruta 282 m²,"38,7022222","-9,1757009",Alcântara,"De luxo, Piscina, Com elevador, Com garagem"
436,436,"Apartamento T3 na Rua Professor Simões Raposo, Lumiar, Lisboa",755.000 €,3 quartos,Área bruta 143 m²,"38,76175","-9,17334",Lumiar,"Com elevador, Com garagem"
437,437,"Apartamento T1 em Avenidas Novas, Lisboa",500.000 €,1 quarto,Área bruta 60 m²,"38,7438838","-9,1611291",Avenidas Novas,Com elevador
438,438,"Apartamento T1 em Estrela, Lisboa",399.000 €,1 quarto,Área bruta 49 m²,"38,70627","-9,16753",Estrela,Com elevador
439,439,"Apartamento T4 em Benfica, Lisboa",385.000 €,4 quartos,Área bruta 105 m²,"38,749546","-9,192056",Benfica, 
440,440,"Apartamento T1 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",479.200 €,1 quarto,Área bruta 59 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
441,441,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 81 m²,"38,74657","-9,17989",São Domingos de Benfica,Rés do chão
442,442,"Apartamento T3 em Arroios, Lisboa",636.500 €,3 quartos,Área bruta 168 m²,"38,7199764","-9,136906",Arroios,Rés do chão
443,443,"Apartamento T2 em Alcântara, Lisboa",775.000 €,2 quartos,Área bruta 110 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
444,444,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",985.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
445,445,"Apartamento T2 Duplex na Rua Professor Veiga Beirão, Alvalade, Lisboa",220.000 €,2 quartos,Área bruta 58 m²,"38,75599","-9,13457",Alvalade, 
446,446,"Apartamento T2 em Avenidas Novas, Lisboa",712.000 €,2 quartos,Área bruta 111 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
447,447,"Apartamento T3 na Rua da Junqueira, Belém, Lisboa",2.500.000 €,3 quartos,Área bruta 240 m²,"38,6973433","-9,1988521",Belém,"De luxo, Piscina, Rés do chão, Com elevador, Com garagem"
448,448,"Apartamento T3 em Campo Grande, Alvalade, Lisboa",985.000 €,3 quartos,Área bruta 137 m²,"38,74684","-9,1410675",Alvalade,"Piscina, Com elevador"
449,449,"Apartamento T2 na Rua do Vale de Santo António, Penha de França, Lisboa",299.900 €,2 quartos,Área bruta 66 m²,"38,72655","-9,126289",Penha de França,Rés do chão
450,450,"Apartamento T2 em Avenidas Novas, Lisboa",835.000 €,2 quartos,Área bruta 125 m²,"38,7280137","-9,14513",Avenidas Novas, 
451,451,"Apartamento T2 na Rua dos Douradores, Santa Maria Maior, Lisboa",670.000 €,2 quartos,Área bruta 85 m²,"38,7100043","-9,136026",Santa Maria Maior,Com elevador
452,452,"Apartamento T3 em Alcântara, Lisboa",1.060.000 €,3 quartos,Área bruta 144 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
453,453,"Apartamento T1 em Estrada de Benfica, São Domingos de Benfica, Lisboa",279.900 €,1 quarto,Área bruta 48 m²,"38,74487","-9,17992",São Domingos de Benfica,"Com elevador, Com garagem"
454,454,"Apartamento T2 em Alcântara, Lisboa",680.000 €,2 quartos,Área bruta 90 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
455,455,"Apartamento T1+1 em São Domingos de Benfica, Lisboa",349.900 €,1 quarto,Área bruta 44 m²,"38,74677","-9,169",São Domingos de Benfica,Rés do chão
456,456,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",985.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
457,457,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 67 m²,"38,74657","-9,17989",São Domingos de Benfica, 
458,458,"Apartamento T1 em Estrela, Lisboa",399.000 €,1 quarto,Área bruta 49 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
459,459,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",880.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
460,460,"Apartamento T3 na Avenida Duque de Loulé, Arroios, Lisboa",1.070.000 €,3 quartos,Área bruta 144 m²,"38,7281575","-9,1446399",Arroios, 
461,461,"Apartamento T2 Triplex em Santa Maria Maior, Lisboa",665.000 €,2 quartos,Área bruta 85 m²,"38,710004","-9,136026",Santa Maria Maior,Com elevador
462,462,"Apartamento T3 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",1.050.300 €,3 quartos,Área bruta 137 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
463,463,"Apartamento T2+2 em Santa Maria Maior, Lisboa",675.000 €,2 quartos,Área bruta 129 m²,"38,71148","-9,13506",Santa Maria Maior,Com elevador
