,id,title,price,num_rooms,total_area,latitude,longitude,region,extras
417,417,"Apartamento T2 Triplex em Santa Maria Maior, Lisboa",665.000 €,2 quartos,Área bruta 85 m²,"38,710004","-9,136026",Santa Maria Maior,Com elevador
418,418,"Apartamento T3 na Rua Sebastião Saraiva Lima, Penha de França, Lisboa",295.000 €,3 quartos,Área bruta 95 m²,"38,73155","-9,12878",Penha de França,Rés do chão
419,419,"Apartamento T3 em Parque das Nações, Lisboa",2.050.000 €,3 quartos,Área bruta 162 m²,"38,7616927","-9,0973332",Parque das Nações,De luxo
420,420,"Apartamento T2 em Alcântara, Lisboa",840.000 €,2 quartos,Área bruta 112 m²,"38,7022222","-9,1757009",Alcântara,"Rés do chão, Com elevador, Com garagem"
421,421,"Duplex T1+1 Duplex na Rua da Praia de Pedrouços, Belém, Lisboa",318.000 €,1 quarto,Área bruta 84 m²,"38,69452","-9,21772",Belém, 
422,422,"Apartamento T4 em Belém, Lisboa",2.025.000 €,4 quartos,Área bruta 281 m²,"38,710654","-9,207782",Belém,"De luxo, Vista para mar, Com elevador, Com garagem"
423,423,"Apartamento T1+1 em São Domingos de Benfica, Lisboa",349.900 €,1 quarto,Área bruta 44 m²,"38,74677","-9,169",São Domingos de Benfica,Rés do chão
424,424,"Apartamento T2 em Avenidas Novas, Lisboa",828.000 €,2 quartos,Área bruta 119 m²,"38,7372473412","-9,1591536999",Avenidas Novas,"Piscina, Com elevador"
425,425,"Apartamento T2 na Rua António Nobre, São Domingos de Benfica, Lisboa",349.900 €,2 quartos,Área bruta 81 m²,"38,74657","-9,17989",São Domingos de Benfica,Rés do chão
426,426,"Apartamento T1 em Avenidas Novas, Lisboa",518.000 €,1 quarto,Área bruta 55 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
427,427,"Moradia T9 na Rua do Sítio Ao Casalinho da Ajuda, Ajuda, Lisboa",595.500 €,9 quartos,Área bruta 48 m²,"38,71151","-9,19231",Ajuda, 
428,428,"Apartamento T1 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",479.200 €,1 quarto,Área bruta 59 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
429,429,"Apartamento T3 em Campo Grande, Alvalade, Lisboa",985.000 €,3 quartos,Área bruta 137 m²,"38,74684","-9,1410675",Alvalade,"Piscina, Com elevador"
430,430,"Apartamento T1 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",399.900 €,1 quarto,Área bruta 44 m²,"38,74677","-9,169",São Domingos de Benfica,Com elevador
431,431,"Apartamento T2 na Rua das Laranjeiras, São Domingos de Benfica, Lisboa",429.900 €,2 quartos,Área bruta 44 m²,"38,74677","-9,169",São Domingos de Benfica, 
432,432,"Apartamento T1 na Avenida Infante Santo, Estrela, Lisboa",530.000 €,1 quarto,Área bruta 56 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
433,433,"Apartamento T2+1 em Estrela, Lisboa",780.000 €,2 quartos,Área bruta 116 m²,"38,709107","-9,166792",Estrela,"Piscina, Com elevador, Com garagem"
434,434,"Apartamento T4 em Avenidas Novas, Lisboa",2.975.000 €,4 quartos,Área bruta 238 m²,"38,74049","-9,150863",Avenidas Novas,"De luxo, Com elevador"
435,435,"Apartamento T1 em Campo de Ourique, Lisboa",599.000 €,1 quarto,Área bruta 72 m²,"38,7154897","-9,1679303",Campo de Ourique,Com garagem
436,436,"Apartamento T3 em Alcântara, Lisboa",1.120.000 €,3 quartos,Área bruta 161 m²,"38,7022222","-9,1757009",Alcântara,"Com elevador, Com garagem"
437,437,"Apartamento T2 em Calçada de Santo André, São Vicente, Lisboa",505.000 €,2 quartos,Área bruta 59 m²,"38,715598","-9,132099",São Vicente, 
438,438,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",845.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
439,439,"Apartamento T1 na Avenida Infante Santo, Estrela, Lisboa",470.000 €,1 quarto,Área bruta 56 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
440,440,"Apartamento T2 na Avenida dos Combatentes, Avenidas Novas, Lisboa",703.000 €,2 quartos,Área bruta 89 m²,"38,7372473412","-9,1591536999",Avenidas Novas,"Piscina, Com elevador"
441,441,"Apartamento T3 em Arroios, Lisboa",606.500 €,3 quartos,Área bruta 151 m²,"38,7199764","-9,136906",Arroios,Rés do chão
442,442,"Apartamento T3 na Avenida João Crisóstomo, Avenidas Novas, Lisboa",1.050.300 €,3 quartos,Área bruta 137 m²,"38,73559","-9,15133",Avenidas Novas,"Com elevador, Com garagem"
443,443,"Apartamento T1 em Travessa da Palmeira, Misericórdia, Lisboa",580.000 €,1 quarto,Área bruta 53 m²,"38,7141","-9,15037",Misericórdia,Com elevador
444,444,"Apartamento T1 em Avenidas Novas, Lisboa",437.000 €,1 quarto,Área bruta 53 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
445,445,"Apartamento T4 em Belém, Lisboa",2.425.000 €,4 quartos,Área bruta 287 m²,"38,710654","-9,207782",Belém,"De luxo, Vista para mar, Com elevador, Com garagem"
447,447,"Apartamento T2 em Avenidas Novas, Lisboa",712.000 €,2 quartos,Área bruta 111 m²,"38,7372473412","-9,1591536999",Avenidas Novas,Com elevador
448,448,"Apartamento T3 em Parque das Nações, Lisboa",878.000 €,3 quartos,Área bruta 153 m²,"38,767822","-9,097943",Parque das Nações, 
449,449,"Apartamento T2+1 na Avenida Infante Santo, Estrela, Lisboa",845.000 €,2 quartos,Área bruta 116 m²,"38,70627","-9,16753",Estrela,"Com elevador, Com garagem"
