,Name,Area,GlobalID,geometry,Access,Stage
32,CIATE - Centro Integral de Adestramento Técnico-Eletrónico,Benfica,fdcd59a4-f832-4f8f-8cc1-bfe39e6f241e,POINT (-9.19332622334994 38.7445491681155),Public,Pre-School
33,Escola Profissional de Tecnologia Digital,Avenidas Novas,4e10f30d-31a6-4b73-b244-b6f1d30c7557,POINT (-9.14834841523104 38.7441193761152),Public,Pre-School
34,Externato de Nossa Senhora da Penha de França,Penha de França,63659fcc-5a79-4326-940f-09d013ed8d5a,POINT (-9.12982745567667 38.7300822479214),Public,Pre-School
35,INETESE - Instituto para o Ensino e Formação,Arroios,27b78e2e-193a-4781-bbb1-16725d12d69f,POINT (-9.13465683307481 38.721193386839),Public,Pre-School
0,Escola Básica de São João de Brito,Alvalade,37f1d9e2-e4a4-4781-9467-17024b0eeebc,POINT (-9.13752911855158 38.7560454034636),Private,First
1,Escola Básica Professora Aida Vieira,Carnide,4627c94e-cc5e-40cb-bab4-83970991efb9,POINT (-9.19261340827231 38.7676799464446),Private,First
2,Jardim de Infância do Bairro Padre Cruz,Carnide,1a55a00a-9474-4c57-9a2e-128788e3a5be,POINT (-9.189706899982 38.7688164305399),Private,First
3,Escola Básica Gaivotas,Misericórdia,5c263eab-c028-4eb6-9f2e-a4afbf904eb9,POINT (-9.14517808575277 38.7105488065443),Private,First
4,Escola Básica Padre Abel Varzim,Misericórdia,bec1da21-14b6-41e9-8434-757bde2ce853,POINT (-9.14548586908564 38.7138347291176),Private,First
5,Escola Básica Luísa Ducla Soares,Santo António,0ad340f6-aee5-463c-b8f5-fc2c26c251b4,POINT (-9.14379266907125 38.7221275261581),Private,First
6,Escola Básica de São José,Santo António,794e9819-98ee-47a7-8d62-efcdc04d2a7c,POINT (-9.14185940623264 38.7191934121605),Private,First
7,Escola Básica Pedro de Santarém,Benfica,6279f840-84a6-45c0-a3ac-567dd49ecadc,POINT (-9.19467287345015 38.7488093488151),Private,First
8,Escola Básica Jorge Barradas,Benfica,51dbed38-bad1-4e6a-8dc8-f0cc02f60623,POINT (-9.20358304445156 38.7557505495183),Private,First
9,Escola Básica Arquitecto Gonçalo Ribeiro Telles,Benfica,543becbf-dcae-497e-8101-e085bfd84061,,Private,First
10,Jardim de Infância N.º 1 de Benfica ,Benfica,9840598a-ad9d-4fd2-bd3d-c3d371916a31,POINT (-9.19691729072167 38.7475041931688),Private,First
11,Escola Básica João dos Santos,Marvila,91f3a31e-0bbe-468b-a2b1-0648f05acfd3,POINT (-9.10723109473508 38.7451102664906),Private,First
12,Escola Básica Professor Agostinho da Silva,Marvila,b7f9392b-5f77-4231-a51a-9f8d47f6db42,POINT (-9.10566170013273 38.7473888273904),Private,First
13,Escola Básica N.º 195 de Lisboa,Marvila,a5877885-74f9-4c28-ad8a-b4a9310662de,POINT (-9.11730957480569 38.7535980577529),Private,First
14,Escola Básica Luíza Neto Jorge,Marvila,efdff652-b1aa-45a8-ab8a-57f8492b8465,POINT (-9.12404067104371 38.7524166937556),Private,First
15,Escola Básica de Lóios,Marvila,376257e6-3388-4854-8bc1-c758944f3d17,POINT (-9.12475814340053 38.758610029251),Private,First
16,Jardim de Infância António José de Almeida,Areeiro,134a8b91-0931-4837-99df-98d04169285e,POINT (-9.14029726182106 38.7382879282864),Private,First
17,Escola Básica Vasco da Gama,Parque das Nações,bcaa7299-0758-402c-b95a-cc16451d7c74,POINT (-9.09352161872208 38.7781216742604),Private,First
18,Escola Básica do Parque das Nações,Parque das Nações,58981734-95ac-4eca-b5bf-311bd9bd6836,POINT (-9.09742105019219 38.7546626005157),Private,First
19,Escola Básica Padre José Manuel Rocha e Melo,Lumiar,496511b7-44f0-42a2-a8e4-c65dddf732aa,POINT (-9.14977745717233 38.7748402512684),Private,First
20,Escola Básica Dr. Nuno Cordeiro Ferreira,Lumiar,a86f9b0a-69ad-4ea1-9d2c-b80d6c38eab1,POINT (-9.15534041526895 38.7756333797672),Private,First
21,Escola Básica Maria da Luz de Deus Ramos,Santa Clara,7882c28d-344c-43b4-b063-50e5a700485c,POINT (-9.15055128159443 38.7909685616028),Private,First
22,Escola Básica Pintora Maluda,Santa Clara,ffff27a5-41e1-40b1-9740-4a32794c6066,POINT (-9.15194317412923 38.7907351971653),Private,First
23,Escola Básica Teixeira de Pascoais,Alvalade,1bebd897-a415-4906-936c-5eb48b8abd54,POINT (-9.13603560027278 38.7472193629945),Private,First
24,Escola Básica Infante D. Henrique,Parque das Nações,a2a1eeb6-6991-4e9e-ac6f-431658326d56,POINT (-9.10238288102009 38.7715635031397),Private,First
25,Escola Básica Arco-Íris,Olivais,1d73920e-9cca-440a-b8be-4e7641c0120e,POINT (-9.12127168008778 38.764158613354),Private,First
26,Escola Básica Adriano Correia de Oliveira,Olivais,2ebc10fb-ab8c-4e00-9d93-f9df6bd0a619,POINT (-9.12166279964479 38.7674683511972),Private,First
27,Escola Básica Homero Serpa,Ajuda,3e3d5af0-7b6d-4d4b-9aab-db1086561b0e,POINT (-9.19267394545787 38.7095565517424),Private,First
28,Jardim de Infância  Alexandre Rodrigues Ferreira,Ajuda,7b3a201b-fc6d-47ff-a54a-619ac9e04be2,POINT (-9.19749234819284 38.7042702801635),Private,First
29,Escola Básica Raúl Lino,Alcântara,45b39af1-bce9-451a-86bb-ecb72de6162f,POINT (-9.18004769767977 38.7066791096939),Private,First
