,OBJECTID,INF_NOME,FREGUESIA,GlobalID,Type,longitude,latitude
6,9,Estúdio Mário Viegas,Santa Maria Maior,80565bca-d41a-4c08-8ea0-5eaee2c61b33,,38.7090776349882,-9.14243656131755
7,10,São Luiz Teatro Municipal,Santa Maria Maior,a297b272-7828-49ee-805b-82ff55be683f,,38.7092139581971,-9.14229062491321
8,11,Teatro Nacional de São Carlos,Santa Maria Maior,be0bd3c4-f232-4490-92df-c98cf95f17ae,,38.7093395446441,-9.14173389317537
9,12,Gota TeatroOficina,Santa Maria Maior,7a9d56bc-9602-4c7e-8021-0bf4a4085ec5,,38.710695035513,-9.1339880952136
10,13,Café - Teatro Santiago Alquimista,Santa Maria Maior,3177b04a-7c7e-4108-8982-25b1dd2d5b58,,38.7110708380512,-9.13166915324598
11,14,Mini-teatro da Calçada,Misericórdia,83a5b4c7-449f-47a2-a1a3-fa5699144dc8,,38.7110395218517,-9.14887938689645
12,15,Companhia do Chapitô,Santa Maria Maior,76325a61-573e-4212-9614-8f0440d825e3,,38.7113667878382,-9.13387611548224
13,16,Espaço Negócio,Misericórdia,6f0b22a8-7e85-46fb-82b4-dfe746e9b9e8,,38.7113584184985,-9.14729738034931
14,17,Teatro da Trindade,Santa Maria Maior,7f428d2d-b61b-43ec-8466-0f9b4cdadfb4,,38.7118667388252,-9.14257794491555
15,18,Teatro do Bairro,Misericórdia,09883c10-ea91-4e73-b60f-195c22968405,,38.7123038059486,-9.1457804776273
16,19,Sociedade de Instrução Guilherme Cossoul,Misericórdia,9ec71f81-5fe8-4652-bbed-894b8d275a05,,38.7141508740111,-9.15323067382153
17,20,Teatro Nacional D. Maria II,Santa Maria Maior,e10fa96f-adcf-4b3b-82ac-9fd333c47d8c,,38.7147695424085,-9.13977194699715
18,21,Teatro Taborda (Teatro da Garagem),Santa Maria Maior,9344aaaa-6442-46ae-b790-0de33815e210,,38.7148688721225,-9.13291109871998
19,22,Teatro Lanterna Mágica,Alcântara,a1d6a186-71e2-4046-a972-9d3106e494a7,,38.7144996165339,-9.18071128875531
20,23,Teatro da Voz,São Vicente,b2ed7667-9da5-4d13-bbf5-35757c0b3f4c,,38.7156784026593,-9.13008006600806
21,24,Espaço Eclipse,Campo de Ourique,3ecc87d6-9696-425c-ab1d-a5669e6d5a84,,38.7161159960171,-9.15493058180255
22,25,Teatro Politeama,Santa Maria Maior,dd25c1c9-37e1-4fda-9364-0cb9a5e5ff30,,38.7164957310627,-9.1408508873865
23,27,Teatro da Politécnica,Santo António,adb68d3c-5823-4972-9c77-00baa1d12dce,,38.7177377825855,-9.15031958857291
24,28,Teatro Maria Vitória,Santo António,beee74e8-95c6-413c-8aad-2e65c45b9ebe,,38.7193513716665,-9.14642168895707
25,29,Teatro Bocage,Arroios,45ecbc1f-8fda-40cf-9fc6-b92d894571c8,,38.7198531832853,-9.13380372063164
26,30,Teatro Tivoli BBVA,Santo António,d7e019d3-ac92-4b69-8b4f-916d0b93ada3,,38.7204853974578,-9.14495579327929
27,31,Teatro Ibérico,Beato,0376b567-05a3-4625-807b-b880d0b1b6b8,,38.7265817202302,-9.11167781978456
28,32,Teatro Mundial,Arroios,1ab104c5-1957-45a5-a8ec-8e98f2966cca,,38.7288853968958,-9.14668505327739
29,33,Teatro Villaret,Arroios,69b8e70b-9035-408e-9f16-2da15952e258,,38.7302464791321,-9.14679436797477
30,34,Clube Estefânia,Arroios,600c4793-e7e4-424d-b13b-4de6dd6109ed,,38.730754311601,-9.13989352002043
